row,n0: Biological Entity,n1: Disease,n2: Phenotypic Feature,n3: Gene,score
1,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),SOD1 (NCBIGene:6647),0.17484112923343012
2,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),FUS (NCBIGene:2521),0.14830907648348055
3,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),SOD1 (NCBIGene:6647),0.14563881963402164
4,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),SCN1A (NCBIGene:6323),0.13940364656628304
5,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),SOD1 (NCBIGene:6647),0.1381700648306872
6,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),TARDBP (NCBIGene:23435),0.13085692570238716
7,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Chronic fatigue (HP:0012432),SOD1 (NCBIGene:6647),0.12687688945210226
8,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),GFAP (NCBIGene:2670),0.12422518510904662
9,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dyspnea (HP:0002094),SOD1 (NCBIGene:6647),0.12382350729184277
10,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),FUS (NCBIGene:2521),0.12349001500920945
11,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),TSC1 (NCBIGene:7248),0.12049708748904567
12,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Hemiparesis (HP:0001269),FAS (NCBIGene:355),0.12046977390428926
13,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),FUS (NCBIGene:2521),0.12024234527695755
14,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),FUS (NCBIGene:2521),0.12013345216545233
15,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),CACNA1A (NCBIGene:773),0.12006217586578836
16,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),OPTN (NCBIGene:10133),0.11931984457877175
17,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),ANG (NCBIGene:283),0.11911482113166807
18,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),VCP (NCBIGene:7415),0.11788998865994448
19,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Anxiety (HP:0000739),SOD1 (NCBIGene:6647),0.11626982185380119
20,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),VAPB (NCBIGene:9217),0.11598878963683604
21,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Spasticity (HP:0001257),GFAP (NCBIGene:2670),0.11597992797269875
22,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),SQSTM1 (NCBIGene:8878),0.11577867645575123
23,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),TBK1 (NCBIGene:29110),0.11414896406162012
24,hemiplegia (MONDO:0001170),amyloidosis (disease) (MONDO:0019065),Hemiparesis (HP:0001269),TTR (NCBIGene:7276),0.11408564261691756
25,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),UBQLN2 (NCBIGene:29978),0.11404537903363239
26,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),ATXN2 (NCBIGene:6311),0.11396676890923413
27,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),ATP1A2 (NCBIGene:477),0.1123480871169091
28,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),ATP1A3 (NCBIGene:478),0.11160277815428016
